#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ROI color statistics timeseries for harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Site: harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Veg Type: DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ROI ID Number: 1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Lat: 42.5378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Lon: -72.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Elev: 340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# UTC Offset: -5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Resize Flag: False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Version: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Creation Date: 2022-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Creation Time: 09:13:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Update Date: 2022-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Update Time: 04:48:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,gcc,rcc,r_mean,r_std,r_5_qtl,r_10_qtl,r_25_qtl,r_50_qtl,r_75_qtl,r_90_qtl,r_95_qtl,g_mean,g_std,g_5_qtl,g_10_qtl,g_25_qtl,g_50_qtl,g_75_qtl,g_90_qtl,g_95_qtl,b_mean,b_std,b_5_qtl,b_10_qtl,b_25_qtl,b_50_qtl,b_75_qtl,b_90_qtl,b_95_qtl,r_g_correl,g_b_correl,b_r_correl
2008-10-15,13:31:38,289,harvard_2008_10_15_133138.jpg,32.06991,NA,NA,1,0.38365,0.3865,68.22399,39.63476,19,25,38,60,91,122,144,67.7221,39.30145,19,25,38,60,90,121,141,40.57347,32.69878,0,6,17,32,57,85,104,0.951,0.94014,0.9011
2009-10-12,12:01:36,285,harvard_2009_10_12_120136.jpg,39.48455,NA,NA,1,0.40049,0.36097,65.78446,38.40128,14,21,36,60,89,118,136,72.98697,39.56301,19,26,42,68,98,126,144,43.47221,33.04941,0,5,18,37,63,88,105,0.96802,0.94291,0.92529
2010-10-13,12:09:35,286,harvard_2010_10_13_120935.jpg,38.94539,NA,NA,1,0.38197,0.3841,74.6457,43.20625,15,22,40,70,103,133,152,74.23112,43.28057,13,20,39,71,103,132,150,45.46235,35.88175,0,2,17,40,67,94,112,0.96469,0.94197,0.92169
2011-10-15,13:01:38,288,harvard_2011_10_15_130138.jpg,35.16544,NA,NA,1,0.40345,0.36575,65.66264,33.86619,21,27,41,60,85,111,128,72.43113,35.54296,25,32,46,67,93,120,138,41.43723,29.92753,1,8,20,36,58,82,98,0.97071,0.94291,0.93833
2012-10-13,12:01:36,287,harvard_2012_10_13_120136.jpg,39.00554,NA,NA,1,0.39311,0.36774,70.89527,42.64136,12,19,37,66,98,128,148,75.78629,43.29245,15,23,41,72,104,134,153,46.10257,35.75406,0,3,18,41,68,94,112,0.96912,0.94443,0.92886
2013-10-14,13:20:32,287,harvard_2013_10_14_132032.jpg,33.6339,NA,NA,1,0.39417,0.38408,63.41505,31.85164,21,28,40,58,82,106,123,65.08083,32.31868,21,28,41,60,84,109,125,36.61149,26.57011,0,6,17,32,51,72,87,0.96554,0.93588,0.91474
2014-10-12,12:01:38,285,harvard_2014_10_12_120138.jpg,39.56608,NA,NA,1,0.41102,0.36971,69.19262,37.91527,15,22,39,67,94,119,136,76.92339,38.35042,21,28,47,75,102,127,143,41.03668,30.75513,0,4,17,37,60,82,97,0.95609,0.93639,0.91959
2015-10-15,12:01:38,288,harvard_2015_10_15_120138.jpg,38.52968,NA,NA,1,0.41434,0.35509,65.09292,35.52749,15,22,38,62,87,111,127,75.95405,36.00987,23,31,49,74,98,122,138,42.26527,29.595,0,7,20,38,59,81,96,0.96398,0.93664,0.91567
2016-10-14,12:01:38,288,harvard_2016_10_14_120138.jpg,38.62123,NA,NA,1,0.41666,0.35637,67.27094,38.1086,13,19,37,65,92,118,134,78.65097,38.881,20,28,48,77,104,129,145,42.84292,30.71315,0,6,19,39,62,83,98,0.96309,0.93406,0.91882
2017-10-13,12:01:38,286,harvard_2017_10_13_120138.jpg,39.08706,NA,NA,1,0.42895,0.32573,58.18168,33.95986,10,17,33,55,79,103,119,76.61819,36.42313,24,32,50,74,99,124,141,43.81722,30.0716,2,9,22,40,61,83,98,0.98182,0.93797,0.94902
2018-10-14,13:31:37,287,harvard_2018_10_14_133137.jpg,32.58395,NA,NA,1,0.42466,0.33447,54.91159,30.9124,15,20,32,49,72,96,113,69.71868,33.29252,25,32,46,65,89,114,131,39.54638,26.71992,5,11,21,34,53,75,90,0.97047,0.93853,0.93693
